C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/scnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#295 epoch: 2, test mean loss=0.42901598727340684, test accuracy=0.8055

counter#296 epoch: 2, test mean loss=0.43042091322238657, test accuracy=0.804

counter#297 epoch: 2, test mean loss=0.43744988151486863, test accuracy=0.8085000000000001

counter#298 epoch: 2, test mean loss=0.43182942503880994, test accuracy=0.8065000000000001

counter#299 epoch: 2, test mean loss=0.43138935646407967, test accuracy=0.8065000000000001

counter#300 epoch: 2, test mean loss=0.432477796870592, test accuracy=0.808

counter#301 epoch: 2, test mean loss=0.4352845174737932, test accuracy=0.8095000000000001

counter#302 epoch: 2, test mean loss=0.43036463686883203, test accuracy=0.8015000000000001

counter#303 epoch: 2, test mean loss=0.4311006840535908, test accuracy=0.8045

counter#304 epoch: 2, test mean loss=0.430296975199928, test accuracy=0.8039999999999999

counter#305 epoch: 2, test mean loss=0.4284418173897982, test accuracy=0.806

counter#306 epoch: 2, test mean loss=0.43017429177320443, test accuracy=0.8089999999999999

counter#307 epoch: 2, test mean loss=0.4286528523287226, test accuracy=0.8065

counter#308 epoch: 2, test mean loss=0.42977963976719913, test accuracy=0.8059999999999998

counter#309 epoch: 2, test mean loss=0.43424053274785307, test accuracy=0.8049999999999999

counter#310 epoch: 2, test mean loss=0.4345530396946133, test accuracy=0.8030000000000002

counter#311 epoch: 2, test mean loss=0.4328636323818354, test accuracy=0.8020000000000002

counter#312 epoch: 2, test mean loss=0.4387803679449477, test accuracy=0.7980000000000002

counter#313 epoch: 2, test mean loss=0.43770267288575715, test accuracy=0.8025000000000002

counter#314 epoch: 2, test mean loss=0.4368228367603774, test accuracy=0.804

