C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#212  epoch: 1, test mean loss=0.5270779257438953, test accuracy=0.714

counter#213  epoch: 1, test mean loss=0.5268075461411424, test accuracy=0.7155

counter#214  epoch: 1, test mean loss=0.5269785289254818, test accuracy=0.715

counter#215  epoch: 1, test mean loss=0.5258047876092916, test accuracy=0.7165

counter#216  epoch: 1, test mean loss=0.5264478054121603, test accuracy=0.7175

counter#217  epoch: 1, test mean loss=0.5258533820821492, test accuracy=0.7185000000000001

counter#218  epoch: 1, test mean loss=0.525625479615374, test accuracy=0.7304999999999998

counter#219  epoch: 1, test mean loss=0.5261890590565365, test accuracy=0.73

counter#220  epoch: 1, test mean loss=0.5234472493441737, test accuracy=0.725

counter#221  epoch: 1, test mean loss=0.5225163533683643, test accuracy=0.7365

counter#222  epoch: 1, test mean loss=0.5244736888093938, test accuracy=0.737

counter#223  epoch: 1, test mean loss=0.5263011014964792, test accuracy=0.7364999999999996

counter#224  epoch: 1, test mean loss=0.524027961592956, test accuracy=0.74

counter#225  epoch: 1, test mean loss=0.5219642071946615, test accuracy=0.7390000000000001

counter#226  epoch: 1, test mean loss=0.5218760364442637, test accuracy=0.7334999999999999

counter#227  epoch: 1, test mean loss=0.5227355197181227, test accuracy=0.7344999999999999

counter#228  epoch: 1, test mean loss=0.5229816952200131, test accuracy=0.732

counter#229  epoch: 1, test mean loss=0.5231466416367762, test accuracy=0.7315

counter#230  epoch: 1, test mean loss=0.52299625388159, test accuracy=0.732

counter#231  epoch: 1, test mean loss=0.5246304157656447, test accuracy=0.725

counter#232  epoch: 1, test mean loss=0.5227608206310442, test accuracy=0.7300000000000001

counter#233  epoch: 1, test mean loss=0.5232261607993423, test accuracy=0.7295000000000003

counter#234  epoch: 1, test mean loss=0.5248140282984137, test accuracy=0.7240000000000002

counter#235  epoch: 1, test mean loss=0.5330415520243867, test accuracy=0.7175000000000002

counter#236  epoch: 1, test mean loss=0.5308839148382705, test accuracy=0.7195000000000005

counter#237  epoch: 1, test mean loss=0.5283246546744573, test accuracy=0.7215000000000003

counter#238  epoch: 1, test mean loss=0.520442894111672, test accuracy=0.7360000000000005

counter#239  epoch: 1, test mean loss=0.5209493057155119, test accuracy=0.7350000000000003

counter#240  epoch: 1, test mean loss=0.5210437320020678, test accuracy=0.7350000000000003

counter#241  epoch: 1, test mean loss=0.5214386128853126, test accuracy=0.7335000000000003

counter#242  epoch: 1, test mean loss=0.522927932696827, test accuracy=0.7255000000000003

counter#243  epoch: 1, test mean loss=0.5211468138977992, test accuracy=0.7355000000000003

counter#244  epoch: 1, test mean loss=0.5210015401228965, test accuracy=0.7380000000000004

counter#245  epoch: 1, test mean loss=0.5208061263491298, test accuracy=0.7370000000000002

counter#246  epoch: 1, test mean loss=0.521229591079784, test accuracy=0.7455000000000002

counter#247  epoch: 1, test mean loss=0.5167773770222671, test accuracy=0.7365000000000002

counter#248  epoch: 1, test mean loss=0.5170913500023426, test accuracy=0.7335000000000003

counter#249  epoch: 1, test mean loss=0.5168544140067111, test accuracy=0.7390000000000001

counter#250  epoch: 1, test mean loss=0.5182665034077716, test accuracy=0.7445

counter#251  epoch: 1, test mean loss=0.5173498910625832, test accuracy=0.7449999999999999

counter#252  epoch: 1, test mean loss=0.5158896314245021, test accuracy=0.7340000000000002

counter#253  epoch: 1, test mean loss=0.5164178427985242, test accuracy=0.7425000000000002

counter#254  epoch: 1, test mean loss=0.5152211879347045, test accuracy=0.7385

counter#255  epoch: 1, test mean loss=0.5163997090989212, test accuracy=0.7370000000000004

counter#256  epoch: 1, test mean loss=0.5198529595664401, test accuracy=0.7330000000000002

